the_geom,horaires,insee,cp,accpgnmt_collectif,accpgnmnt_rdv,accpgnmt_fildeleau,acces_libre_matos,wifi,cartodb_id,mail,site_web,tel,adresse,commune,id,lon,lat
0101000020E61000004628B682A6A51740D2E0B6B6F0D84640,"du lundi au vendredi, de 8h à 12h et de 13h à 17h",73008,73100,oui,,oui,oui,non,3,,,04 79 61 30 68,7 avenue d'Annecy,Aix les bains,ARQA,5.911768,45.694846
0101000020E610000019C748F608351940DA71C3EFA6C54640,Lundi de 10h à 12h et de 14h à 17h Mardi de 9h à 12h Mercredi de 9h à 12h et de 14h à 17h Jeudi de 9h à 12h et de 14h à 17h Vendredi de 9h à 12h,73002,73220,,,,,,1,al.chataux@aacaiguebelle.com,,04 79 36 37 27,"Parc Rochette
Allée du Château",Aiguebelle,AACA,6.301792,45.544157
0101000020E6100000161747E5269A1A40E89FE06245C74640,"Mardi de 9h à 12h et de 13h30 à 17h, mercredi de 10h à 12h et de 13h30 à 20h, jeudi 9h à 12h et de 12h30 à 17h, vendredi de 9h à 12h à 13h30 à 20h, samedi 9h30 à 12h30.",73006,73210,,,,,,2,jeunesse.pij@eac-aime.com,http://eac-aime.com,04 79 09 63 24,94 grande rue - Pôle social le Clos St Martin,Aime-la-Plagne,Espace associatif d’Aime,6.650539,45.556805
0101000020E610000072DC291DAC9F1740AF97A60870D84640,,73008,73100,oui,,oui,non,,4,,,06 79 50 30 51,14 avenue de la Liberté,Aix les bains,Foyer d'animation du quatier de la Liberté,5.90593,45.690919
0101000020E6100000A1F5F065A2A817401A6CEA3C2AD84640,,73008,73100,oui,,,non,oui,5,,,,,Aix les bains,Mieux vivre à Marlioz,5.914682,45.688789
0101000020E6100000FA279B128BA71740B857E6ADBAD84640,,73008,73100,,,,,,6,epnmaj@gmail.com,,04 79 88 59 36,4 rue Vaugelas,Aix les bains,Espace Public Numérique d’Aix les bains,5.9136164576721,45.693197
0101000020E6100000C8B1F50CE1C81740950D6B2A8BE44640,Le lundi : 8h30 à 12h30 mardi : de 8h30 à 12h30 mercredi : 8h30 à 17H00 le jeudi de 8h30 à 17H00 Le vendredi de  8h30 à 17H00,73010,73410,oui,,oui,oui,oui,7,relais.albanais@grand-lac.fr,,04 79 63 89 46,"60 Rue J.Michaud,",Entrelacs,Msap de l'Albanais,5.946171,45.785497
0101000020E6100000E77118CC5F911940DCD6169E97D64640,Ateliers SOS mardi 18h-18h45 et jeudi 10h-11h et 11h-12h,73011,73200,oui,,non,oui,oui,8,,,04 73 10 44 70,"135 place de l'Europe,",Albertville,Médiathèque Albertville,6.391967,45.676502
0101000020E6100000A558B286328C1940C8755B3B34D64640,"Libre accès : Lundi au jeudi 8h30-12h et 13h30-17h30 (fermé le mardi matin), vendredi fermeture à 16h30.
Ateliers : mardi 17h30-19h à la Villa Aubry et jeudi 17h30-19h à la Maison du quartier Champ de Mars",73011,73200,oui,,,oui,oui,9,cyber-base@albertville.fr,,04 79 89 26 30,2 rue Aubry,Albertville,Centre socio-culturel d'Albertville,6.386911492,45.67346899
0101000020E6100000D4997B48F88E19405227A089B0D54640,,73011,73200,,,,,,10,,,04 79 31 19 19,45 avenue Jean Jaurés,Albertville,Mission locale jeune / PIJ Albertville,6.389619,45.66945
0101000020E610000058703FE081811940BB5F05F86ED54640,Ateliers gratuit pour les résidents,73011,73200,oui,,,non,non,11,,,04 79 32 23 69,221 chemin des Trois Poiries,Albertville,"Résidence autonomie ""Les 4 vallées""",6.376472,45.667449
0101000020E6100000132BA391CF4B1A40C5C72764E7DB4640,lundi au vendredi 8h30 - 12h00     14h00 – 17h30,73034,73270,,,,,,12,,,04 79 38 33 90,Rue du confluent,Beaufort,Association d’Animation du Beaufortain,6.574034,45.717999
0101000020E6100000EB573A1F9E951A40AA8251499DB84640,LUNDI :9h-12h 14h30 -16h30 mardi:9h -12h 14h30-16h30 mercredi:9h-12h 14h30-16h30 jeudi:9h -12h 14h30-16h30 vendredi:9h-12h 14h30-16h30 samedi :9h -12h,73055,73350,,,,,,13,msap.bozel@laposte.fr,,,Rue Emile Machet,Bozel,Msap Poste de Bozel,6.646111,45.4423
0101000020E61000005DF92CCF839B174077DA1A118CC74640,du lundi au vendredi de 14h00 à 18h00 / un samedi tous les 15 jours de 14h à 18h00,73065,73000,oui,oui,oui,non,non,14,cafebiollay@gmail.com,,04 79 68 83 10,454 rue de Salins,Chambéry,Café Biollay,5.90187,45.558962
0101000020E61000004DBF44BC75AE174049111956F1C84640,du lundi au vendredi de 9h00 à 18h00,73065,73000,,,oui,non,oui,15,bonjour@lemug-coworking.fr,www.lemug-coworking.fr,04 79 28 68 62,129 rue sommeiller,Chambéry,Le Mug,5.920371,45.569865
0101000020E6100000A0FB7266BBB217406DE34F5436C84640,"les mardis et vendredis de 12h00 à 19h00 / les mercredis, jeudis et samedis de 10h00 à 18h00
",73065,73000,oui,,oui,oui,oui,16,v.lemoine@mairie-chambery.fr,www.bm-chambery.fr,04 79 60 04 04,Carré Curial BP 40208,Chambéry,Médiathèque Jean-Jacques Rousseau,5.924543,45.564158
0101000020E6100000F3F85822996719409BA9B5D5D1A24640,,73248,73300,,,,,,48,espacejeunes@3cma73.com,http://www.espacejeunes-cccm.com/,04 79 59 94 95,383 Avenue du Mont Cenis,Saint Jean de Maurienne,Espace Jeunes,6.351170098,45.27202865
0101000020E610000012A27C410BA91740A9BD88B663CC4640,les mardis et vendredis de 15h00 à 19h00 / les mercredis et samedis de 10h00 à 12h30  et de 14h00 à 18h00,73065,73000,oui,,oui,non,non,17,a.portigliatti@mairie-chambery.fr,www.bm-chambery.fr,,401 rue du pré de l'âne,Chambéry,Bibliothèque G. Brassens,5.915082,45.596793
0101000020E6100000D13C80457EAD1740338B506C05C94640,les lundis de 13h00 à 17h00 / du mardi au vendredi de 8h30 à 12h30 et de 13h00 à 17h00,73065,73000,oui,oui,oui,oui,non,18,jeanbernardcallejon@mlchambery.org,www.teamchambe.fr,04 79 62 66 87,"79, place de la gare",Chambéry,Savoie Information Jeunesse  (SIJ),5.919427,45.570478
0101000020E6100000DF3312A111BC1740EDBB22F8DFC84640,les lundis de 14h00 à 18h00 / du mardi au vendredi de 8h30 à 12h30 et de 14h00 à 18h00,73065,73000,"Ateliers ""Le numérique pour tous"" pour les publics Mission Locale, Garantie Jeunes, Amplitude (avec la participation d'Orange Solidarité)",oui,oui,oui,non,19,informatique@mlchambery.org,www.mlchambery.org,04 79 33 50 84,72 rue Paulette Besson,Chambéry,Mission Locale Jeunes du Bassin Chambérien (MLJ),5.933661,45.569335
0101000020E61000006682E15CC39C1740A48D23D6E2C74640,du lundi au vendredi de 9h00 à 12h00 et de 14h00 à 18h00 (sauf mardi matin),73065,73000,oui,oui,oui,oui,,20,csab73.fanny@gmail.com,csab73.fr,04 79 96 26 77,119 Place René Vair,Chambéry,Centre Social et d'Animation du Biollay,5.903089,45.56161
0101000020E61000006B9A779CA2B317403A5AD5928EC84640,les lundis de 9h00 à 12h00 et de 13h00 à 15h00 / les mercredis de 9h00 à 12h00 et de 13h00 à 17h00 (ouvert pendant les vacances scolaires),73065,73000,oui,oui,"prêt possible lors des animations, uniquement sur inscription préalable",oui,oui,21,association@polymatheia.org,www.polymatheia.org,07 81 23 27 28,"67, rue St-François-de-Sales",Chambéry,Polymatheia,5.925425,45.566851
0101000020E61000006B9A779CA2B317403A5AD5928EC84640,les 1er et 3ème jeudi du mois à partir de 20h00 (hors vacances scolaires),73065,73000,oui,oui,,oui,oui,22,secretaire@alpinux.org,www.alpinux.org,,"67, rue Saint-François-de-Sales",Chambéry,Alpinux,5.925425,45.566851
0101000020E61000006286C613418C18404F401361C3D74640,du lundi au vendredi de 9h à 12h et de 14h à 17h30 (fermé le mardi matin),73081,73630,oui,,oui,oui,oui,23,info@amisdesbauges.org,,04 79 54 87 64,Rue du Capitaine de Courson,Le Chatelard,Les Amis des Bauges,6.136967,45.68565
0101000020E6100000BF654E97C564174024ED461FF3E74640,"du lundi au vendredi de 9h à 12h et les mardi, jeudi et vendredi après-midi de 14h à 18h",73085,73310,non,,oui,oui,oui,24,,www.alcc73.fr,04 79 54 52 54,Chemin des Choitres,Chindrieux,ALCC,5.84841,45.812107
